matchNo,team,opponent,matchType,name,courtPosition_Q1,courtPosition_Q2,courtPosition_Q3,courtPosition_Q4,minutesPlayed,goalsScored,goalsAttempted,shootingPer,goalAssists,feeds,centrePassReceives,gains,intercepts,deflections,attackingRebounds,defensiveRebounds,pickups,contactPenalties,obstructionPenalties,offsides,badHands,footwork,otherError
31,Trinidad and Tobago,Barbados,Classification,BAPTISTE Aniecia,GD,GD,GD,GD,60,,,,,,3,7,2,9,,2,4,14,4,,,1,
31,Trinidad and Tobago,Barbados,Classification,BRUNO Tia,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,CASSIMY Janeisha,C,C,C,C,60,,,,25,42,,2,2,,,,,5,1,,1,,
31,Trinidad and Tobago,Barbados,Classification,COOPER Joelisa,GA,GA,GA,GA,60,25,31,81,18,21,13,1,,,,,5,4,1,,5,,
31,Trinidad and Tobago,Barbados,Classification,DILLON Tianna,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,DOUGLAS Oprah,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,GREENE-NOEL Shaquanda,GK,GK,GK,GK,60,,,,,,,12,5,8,,5,5,6,3,,,,
31,Trinidad and Tobago,Barbados,Classification,HAGLEY Faith,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,HOLLINGSWORTH Tahirah,,,,,,,,,,,,,,,,,,,,,,,
31,Trinidad and Tobago,Barbados,Classification,MC EACHRANE Jeresia,WD,WD,WD,WD,60,,,,,,3,3,1,3,,,4,11,1,,1,1,
31,Trinidad and Tobago,Barbados,Classification,NOEL Afeisha,GS,GS,GS,GS,60,38,43,88,2,4,,1,,,6,,1,3,,,3,,
31,Trinidad and Tobago,Barbados,Classification,SEEMUNGAL Shantel,WA,WA,WA,WA,60,,,,17,34,25,,,1,,,7,1,,,,,
32,Scotland,Northern Ireland,Classification,BARRIE Emma,,,,,,,,,,,,,,,,,,,,,,,
32,Scotland,Northern Ireland,Classification,BOYLE Kelly,,,,C,6,,,,1,4,,,,,,,,,,,,,
32,Scotland,Northern Ireland,Classification,CHRISTIAN Iona,WA,WA,WA,WA,60,,,,13,23,11,1,1,,,,1,4,,,2,,
32,Scotland,Northern Ireland,Classification,CONWAY Rachel Olive,GK,GK,GK,GK,60,,,,,,,3,1,3,,1,3,5,2,,,,
32,Scotland,Northern Ireland,Classification,GOODWIN Beth,GS,GS,GS,GS,60,23,27,85,4,5,,,,1,,,,,,,,,
32,Scotland,Northern Ireland,Classification,LEIGHTON Hannah,C,C,C,C,54,,,,12,21,,,,4,,,,2,1,,,,2
32,Scotland,Northern Ireland,Classification,LOVE Emma,,,,,,,,,,,,,,,,,,,,,,,
32,Scotland,Northern Ireland,Classification,MACPHAIL Sarah,,,,,,,,,,,,,,,,,,,,,,,
32,Scotland,Northern Ireland,Classification,MAXWELL Claire,WD,WD,WD,WD,60,,,,,1,8,3,1,1,,,4,8,1,,,,
32,Scotland,Northern Ireland,Classification,MCCALL Niamh,GA,GA,GA,GA,60,20,26,77,11,13,15,,,1,,,5,2,1,,1,,
32,Scotland,Northern Ireland,Classification,NICHOLL Emily,GD,GD,GD,GD,60,,,,,,3,4,2,5,,1,2,8,7,,,,
32,Scotland,Northern Ireland,Classification,TAIT Lauren,,,,,,,,,,,,,,,,,,,,,,,
32,Northern Ireland,Scotland,Classification,BOWMAN Jenna,,,GS,GS,15,4,8,50,,1,,,,1,2,,1,1,,,,1,
32,Northern Ireland,Scotland,Classification,COOPER Niamh,WD,WD,WD,C,32,,,,1,2,3,,,,,,,3,1,,,,
32,Northern Ireland,Scotland,Classification,CROSBIE Ciara,GS,GS,GS,GA,45,17,24,71,,2,,,,,2,,,4,,,,,
32,Northern Ireland,Scotland,Classification,DRAYNE Michelle,,WA,C,WA,36,,,,3,11,3,,,,,,2,3,2,,,,
32,Northern Ireland,Scotland,Classification,KEENAN Frances,WA,WA,,,22,,,,3,5,2,,,,,,,2,,,1,,
32,Northern Ireland,Scotland,Classification,MAGEE Emma,GA,GA,GA,GS,60,12,17,71,11,14,9,,,,1,,3,5,1,,1,,1
32,Northern Ireland,Scotland,Classification,MAGEE Michelle,GK,GK,GD,GD,60,,,,,,6,4,,4,,1,4,5,7,,,,
32,Northern Ireland,Scotland,Classification,MCCANN Maria,,,,,,,,,,,,,,,,,,,,,,,
32,Northern Ireland,Scotland,Classification,MCDONALD Olivia,,,GK,GK,30,,,,,,,2,,4,,1,2,4,6,,,,
32,Northern Ireland,Scotland,Classification,MCGRATH Georgie,,,,,,,,,,,,,,,,,,,,,,,
32,Northern Ireland,Scotland,Classification,O'HANLON Caroline,C,C,WA,WA,60,,,,13,30,5,1,,3,,,3,7,,1,2,1,
32,Northern Ireland,Scotland,Classification,TONER Fionnuala,GD,GD,WD,WD,60,,,,,1,7,10,4,2,,2,6,10,6,2,,1,1
33,Wales,Malawi,Classification,CREAK Betsy,GA,GA,GA,,37,8,10,80,10,11,6,,,,,,2,3,,,,,
33,Wales,Malawi,Classification,DRANE Suzy,C,C,C,,42,,,,7,13,,1,,2,,,2,2,2,,,,
33,Wales,Malawi,Classification,DYKE Bethan,WA,WA,WA,WA,60,,,,22,38,21,,,,,,5,8,,,2,,
33,Wales,Malawi,Classification,JONES Clare,,,C,C,18,,,,1,4,,,,1,,,,1,,,,,
33,Wales,Malawi,Classification,JONES Nia,WD,WD,WD,WD,60,,,,3,3,23,,,1,,,,15,1,,,,
33,Wales,Malawi,Classification,O'DWYER Shona,,,,,,,,,,,,,,,,,,,,,,,
33,Wales,Malawi,Classification,POWELL-DAVIES Ella,GD,GD,GD,GD,60,,,,,,1,3,2,,,1,,14,2,,,,
33,Wales,Malawi,Classification,ROBERTS Eleanor,,,GA,GA,23,1,2,50,9,10,4,,,,,,,,,,,,
33,Wales,Malawi,Classification,ROWE Georgia,GS,GS,GS,GS,60,47,49,96,2,2,,,,,,,,3,,,,1,
33,Wales,Malawi,Classification,SHAW Christina,GK,GK,GK,GK,41,,,,,,,1,1,,,,1,4,,,,,
33,Wales,Malawi,Classification,THOMAS Leila,,,GK,GK,19,,,,,,,,,,,,,4,5,,,,
33,Wales,Malawi,Classification,YARRANTON Phillipa,,,,,,,,,,,,,,,,,,,,,,,
33,Malawi,Wales,Classification,CHIMALIRO Jane,WA,WA,WA,WA,60,3,4,75,16,27,7,,,1,,,,10,,,,,
33,Malawi,Wales,Classification,DAMBO Martha,WD,WD,WD,WD,60,,,,,,12,,,1,,,1,5,2,,,,
33,Malawi,Wales,Classification,DIMBA Shira,,,,C,1,,,,,,,,,,,,,,,,,,1
33,Malawi,Wales,Classification,GALLETA Thandie Mwale,,,,,,,,,,,,,,,,,,,,,,,
33,Malawi,Wales,Classification,KUMWENDA Bridget,WA,,,,12,,,,2,4,1,1,1,,,,,1,,,,,
33,Malawi,Wales,Classification,KUMWENDA Mwai Jasinta,GS,GS,GS,GS,60,49,50,98,,1,,,,,1,,,1,,,1,,
33,Malawi,Wales,Classification,LWAZI Takondwa,C,C,C,C,59,,,,28,36,1,1,,,,,3,5,2,,,,1
33,Malawi,Wales,Classification,MTUKULE Caroline Brighton,GD,GD,GD,GD,54,,,,,1,17,1,,3,,,1,9,4,,,,1
33,Malawi,Wales,Classification,MVULA Joyce,,,,,,,,,,,,,,,,,,,,,,,
33,Malawi,Wales,Classification,NGWIRA Loreen,,,,GK,6,,,,,,,1,1,1,,,,1,1,,,,
33,Malawi,Wales,Classification,SIMTOWE Sindi,GA,GA,GA,GA,48,10,11,91,14,19,15,,,,1,,,,2,,,,
33,Malawi,Wales,Classification,VINKHUMBO Towera Angela,GK,GK,GK,GD,60,,,,,,3,6,3,7,,1,4,13,4,,,,
34,South Africa,Uganda,Classification,CHAWANE Khanyisa,C,C,C,C,51,,,,11,13,,,,,,,1,5,2,,2,,1
34,South Africa,Uganda,Classification,GRIESEL Izette,,WA,WA,WA,39,,,,15,18,18,1,1,1,,,4,2,,,1,,
34,South Africa,Uganda,Classification,MAWENI Phumza,GK,GK,GK,GK,60,,,,,,,,,3,,,,14,8,,,,
34,South Africa,Uganda,Classification,MDAU Tshina,,,WD,WD,24,,,,1,1,2,,,1,,,,11,2,,,,
34,South Africa,Uganda,Classification,MSOMI Bongiwe,WA,C,C,,30,,,,11,13,9,1,,1,,,1,2,1,,,,
34,South Africa,Uganda,Classification,RADEMAN Lefebre,,GA,GA,,19,6,7,86,,,3,,,,,,,5,1,,,,
34,South Africa,Uganda,Classification,SMITH Nicola,GD,GD,,,15,,,,,,2,,,1,,,,2,3,,,,
34,South Africa,Uganda,Classification,TALJAARD Nichole,,,,,,,,,,,,,,,,,,,,,,,
34,South Africa,Uganda,Classification,VAN DER BERG Elmere,GA,GA,GA,GA,41,17,18,94,4,5,6,,,2,2,,1,7,1,,,,
34,South Africa,Uganda,Classification,VAN DER MERWE Shadine,WD,WD,GD,GD,60,,,,,,6,4,2,,,1,1,15,3,,,,
34,South Africa,Uganda,Classification,VENTER Ine-Mari,GS,GS,GS,GS,60,25,29,86,5,5,,1,1,,,,,,,,2,,
34,South Africa,Uganda,Classification,VIMBELA Zanele,,GD,GD,WD,21,,,,,,2,,,,,,,7,3,,,,
34,Uganda,South Africa,Classification,ACHAN Jesca,C,C,C,,43,,,,15,13,,1,,1,,,1,5,,,,,
34,Uganda,South Africa,Classification,BAAGALA Margret,,,C,C,17,,,,4,5,,,,,,,,3,,,,,
34,Uganda,South Africa,Classification,CHOLHOK Mary Nuba,GS,GS,GS,GS,60,31,35,89,1,1,,,,,2,,,2,,,,,
34,Uganda,South Africa,Classification,EYARU Irene,GA,GA,GA,GA,53,21,24,88,5,8,18,2,1,,,,2,,4,,,1,
34,Uganda,South Africa,Classification,HANIISHA Muhameed Nakaate,,,,,,,,,,,,,,,,,,,,,,,
34,Uganda,South Africa,Classification,LUNKUSE Norah,,,,,,,,,,,,,,,,,,,,,,,
34,Uganda,South Africa,Classification,NALWANJA Shaffie,GK,GK,GK,GK,60,,,,,,,3,2,7,,,4,7,2,,,,
34,Uganda,South Africa,Classification,NAMBIRIGE Sandra Ruth,WD,WD,WD,WD,60,,,,,,4,1,,3,,,2,11,4,,1,,1
34,Uganda,South Africa,Classification,NAMPUNGU Joan,GD,GD,GD,GD,60,,,,,,4,3,1,,,1,4,9,1,1,1,1,
34,Uganda,South Africa,Classification,NASSANGA Shadiah Ssegujja,,,,GA,7,2,2,100,3,3,2,,,,,,,,,,,,
34,Uganda,South Africa,Classification,OYELLA Stella,WA,WA,WA,WA,60,,,,21,29,23,1,1,,,,3,4,,,,,1
34,Uganda,South Africa,Classification,PEACE Proscovia,,,,,,,,,,,,,,,,,,,,,,,
35,Jamaica,New Zealand,Semi Final,BECKFORD Shanice Horasha,GA,GA,GA,GA,57,10,10,100,21,21,12,1,,,,,2,1,,,1,,
35,Jamaica,New Zealand,Semi Final,DEHANEY Kadie-ann Alicia,,,,GK,6,,,,,,,,,1,,,1,1,1,,,,
35,Jamaica,New Zealand,Semi Final,DIXON-ROCHESTER Nicole,C,C,C,C,57,,,,20,32,,3,3,2,,,3,7,2,,2,,1
35,Jamaica,New Zealand,Semi Final,FOWLER Jhaniele Karyl,GS,GS,GS,GS,53,54,54,100,,,,,,,,,1,1,,,,,
35,Jamaica,New Zealand,Semi Final,HEMMINGS Shadian Toni-ann,,,,C,4,,,,1,1,,,,,,,,,,,,,
35,Jamaica,New Zealand,Semi Final,NELSON Shimona,,,,GS,6,3,3,100,,,,,,,,,,,,,,,
35,Jamaica,New Zealand,Semi Final,ROBINSON Rebekah Theresa,,,,GA,4,,,,,,,,,,,,,,,,,,1
35,Jamaica,New Zealand,Semi Final,STERLING Shamera Shadae,GK,GK,GK,GK,53,,,,,,,6,3,,,1,4,6,1,,,,
35,Jamaica,New Zealand,Semi Final,THOMAS Adean Tamesha,,,,WA,7,,,,2,4,1,,,,,,,2,,,,,
35,Jamaica,New Zealand,Semi Final,WARD Jodi-Ann,WD,WD,WD,WD,60,,,,,,14,2,2,4,,,1,6,2,,,,
35,Jamaica,New Zealand,Semi Final,WILLIAMS Khadijah Amoy,WA,WA,WA,WA,53,,,,23,31,8,,,,,,,1,1,,2,,
35,Jamaica,New Zealand,Semi Final,WILSON Latanya Amoy,GD,GD,GD,GD,60,,,,,,16,2,,3,,1,2,5,2,,,,
35,New Zealand,Jamaica,Semi Final,CRAMPTON Gina,WA,WA,WA,,30,,,,14,20,19,,,,,,1,,,,1,,
35,New Zealand,Jamaica,Semi Final,FITZPATRICK Sulu,GK,GK,,,21,,,,,,,,,,,,1,1,,,,,
35,New Zealand,Jamaica,Semi Final,HEFFERNAN Kate,WD,WD,C,C,36,,,,5,7,2,1,1,,,,,8,,,,,
35,New Zealand,Jamaica,Semi Final,JOHNSON Kayla,,WD,WD,WD,33,,,,,,6,2,1,,,,1,,,,,,
35,New Zealand,Jamaica,Semi Final,JURY Kelly,,GK,GK,GK,39,,,,,,,1,1,4,,,1,7,5,,,,
35,New Zealand,Jamaica,Semi Final,KARAKA Phoenix,GD,GD,GD,GD,60,,,,,,7,1,,2,,,2,7,3,,1,,
35,New Zealand,Jamaica,Semi Final,MES Bailey,,,,,,,,,,,,,,,,,,,,,,,
35,New Zealand,Jamaica,Semi Final,NWEKE Grace,,,GS,GS,30,24,24,100,,,,1,,,,,1,2,,1,,,
35,New Zealand,Jamaica,Semi Final,SAUNDERS Shannon,,,WA,WA,30,,,,14,17,15,,,,,,1,,2,,1,,
35,New Zealand,Jamaica,Semi Final,SELBY-RICKIT Te Paea,GA,GA,GA,,36,14,16,88,2,3,6,1,1,,1,,,,4,,,,1
35,New Zealand,Jamaica,Semi Final,SOUNESS Whitney,C,C,C,C,51,,,,14,17,,,,3,,,3,7,,,,,
35,New Zealand,Jamaica,Semi Final,WILSON Maia,GS,GS,GA,GA,54,13,15,87,,,2,,,1,,,,4,1,1,1,,
36,England,Australia,Semi Final,ALLISON Imogen,,WD,WD,WD,33,,,,,,,2,1,1,,,2,6,,,,,
36,England,Australia,Semi Final,CARDWELL Eleanor,,GA,GS,GS,35,22,24,92,3,4,6,,,1,,,1,1,,,,,
36,England,Australia,Semi Final,CLARKE Jade,C,WD,C,C,35,,,,8,13,2,,,,,,,4,1,1,,,1
36,England,Australia,Semi Final,DRAKEFORD-LEWIS Sophie,,,,,,,,,,,,,,,,,,,,,,,
36,England,Australia,Semi Final,FRANCIS-BAYMAN Stacey,WD,WD,GD,GD,38,,,,,,9,1,,1,,1,,4,3,,,,
36,England,Australia,Semi Final,GUSCOTH Layla,GD,GD,GD,GD,37,,,,,,1,1,,3,,,1,14,5,,,,
36,England,Australia,Semi Final,HARTEN Joanne,GS,GS,GS,,43,16,17,94,4,4,,,,,,,1,1,1,,1,,1
36,England,Australia,Semi Final,HOUSBY Helen,GA,GA,GA,GA,42,13,14,93,13,16,11,2,1,,,,1,2,,,1,,
36,England,Australia,Semi Final,MALCOLM Laura,,C,C,C,37,,,,6,12,,,,1,,,,3,,,,,1
36,England,Australia,Semi Final,MENTOR Geva,GK,GK,GK,GK,49,,,,,,,,,4,,,3,15,6,,,,
36,England,Australia,Semi Final,METCALF Natalie,WA,WA,WA,WA,60,,,,15,31,23,1,,2,,,3,3,,1,,,
36,England,Australia,Semi Final,USORO-BROWN Eboni,,,,GK,11,,,,,,,,,,,,,3,1,,,,
36,Australia,England,Semi Final,ARYANG Sunday,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,England,Semi Final,AUSTIN Kiera,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,England,Semi Final,BRAZILL Ashleigh,WD,WD,WD,WD,60,,,,,,11,1,,3,,,1,8,,,,,1
36,Australia,England,Semi Final,BRUCE Courtney,GK,GK,GK,GK,60,,,,,,,4,1,5,,2,2,17,8,,,,
36,Australia,England,Semi Final,BUETA Gretel,GS,GS,GS,GS,60,43,44,98,1,1,,,,,,,,,,,1,,
36,Australia,England,Semi Final,HADLEY Paige,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,England,Semi Final,KLAU Sarah,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,England,Semi Final,KOENEN Cara,,,,,,,,,,,,,,,,,,,,,,,
36,Australia,England,Semi Final,MOLONEY Kate,C,C,C,C,60,,,,5,12,1,1,,1,,,3,7,2,,1,,
36,Australia,England,Semi Final,WATSON Liz,WA,WA,WA,WA,60,,,,27,46,13,,,1,,,2,6,1,,2,,1
36,Australia,England,Semi Final,WESTON Joanna,GD,GD,GD,GD,60,,,,,,8,2,1,2,,,3,10,5,,,,1
36,Australia,England,Semi Final,WOOD Steph,GA,GA,GA,GA,60,17,20,85,17,20,18,1,,,,,5,1,,,1,,
37,New Zealand,England,Medal,CRAMPTON Gina,WA,WA,WA,WA,60,,,,25,36,28,,,,,,4,2,1,1,1,,
37,New Zealand,England,Medal,FITZPATRICK Sulu,,,,,,,,,,,,,,,,,,,,,,,
37,New Zealand,England,Medal,HEFFERNAN Kate,WD,WD,WD,WD,60,,,,,,6,2,2,2,,,1,9,1,,,,
37,New Zealand,England,Medal,JOHNSON Kayla,,,,,,,,,,,,,,,,,,,,,,,
37,New Zealand,England,Medal,JURY Kelly,GK,GK,GK,GK,60,,,,,,,4,2,4,,,4,15,10,,,,
37,New Zealand,England,Medal,KARAKA Phoenix,GD,GD,GD,GD,60,,,,,,6,3,2,,,1,1,12,9,,,,
37,New Zealand,England,Medal,MES Bailey,,,,,,,,,,,,,,,,,,,,,,,
37,New Zealand,England,Medal,NWEKE Grace,GS,GS,GS,GS,60,44,48,92,,1,,,,,3,,1,3,,,1,,
37,New Zealand,England,Medal,SAUNDERS Shannon,,,,,,,,,,,,,,,,,,,,,,,
37,New Zealand,England,Medal,SELBY-RICKIT Te Paea,GA,GA,GA,GA,60,11,14,79,10,11,8,,,1,,,1,1,3,,1,,1
37,New Zealand,England,Medal,SOUNESS Whitney,C,C,C,C,60,,,,18,25,,2,2,,,,,6,5,,,,
37,New Zealand,England,Medal,WILSON Maia,,,,,,,,,,,,,,,,,,,,,,,
37,England,New Zealand,Medal,ALLISON Imogen,,,WD,WD,4,,,,,,3,,,,,,1,2,,,,,
37,England,New Zealand,Medal,CARDWELL Eleanor,GS,GS,GS,GA,60,31,34,91,1,3,5,,,,1,,1,3,,,1,,
37,England,New Zealand,Medal,CLARKE Jade,C,C,C,,45,,,,6,13,,,,,,,1,2,,,1,,1
37,England,New Zealand,Medal,DRAKEFORD-LEWIS Sophie,,,,,,,,,,,,,,,,,,,,,,,
37,England,New Zealand,Medal,FRANCIS-BAYMAN Stacey,,GD,GD,GD,34,,,,,,5,2,1,2,,,1,10,,,1,,
37,England,New Zealand,Medal,GUSCOTH Layla,GD,GD,,GD,37,,,,,,3,1,,4,,,2,5,1,,,,
37,England,New Zealand,Medal,HARTEN Joanne,,,,GS,,4,5,80,5,5,,,,,1,,,,,,,,
37,England,New Zealand,Medal,HOUSBY Helen,GA,GA,GA,GA,60,13,17,76,8,10,8,,,,,,1,2,3,,,,
37,England,New Zealand,Medal,MALCOLM Laura,WD,WD,C,C,60,,,,9,16,6,2,1,1,,,1,6,1,,,,
37,England,New Zealand,Medal,MENTOR Geva,GK,GK,GK,GK,60,,,,,,,3,1,2,,,3,13,4,,,,
37,England,New Zealand,Medal,METCALF Natalie,WA,WA,WA,WA,60,,,,18,42,15,,,,1,,5,2,2,,1,,
37,England,New Zealand,Medal,USORO-BROWN Eboni,,,,GK,,,,,,,,,,,,,,,,,,,
38,Jamaica,Australia,Medal,BECKFORD Shanice Horasha,GA,GA,GA,GA,60,5,5,100,15,17,18,,,,1,,2,,,,2,1,
38,Jamaica,Australia,Medal,DEHANEY Kadie-ann Alicia,,,,,,,,,,,,,,,,,,,,,,,
38,Jamaica,Australia,Medal,DIXON-ROCHESTER Nicole,C,C,C,C,60,,,,20,24,1,1,,1,,,1,12,2,,1,,1
38,Jamaica,Australia,Medal,FOWLER Jhaniele Karyl,GS,GS,GS,GS,60,46,47,98,,,,,,,,,,1,2,,1,,
38,Jamaica,Australia,Medal,HEMMINGS Shadian Toni-ann,,,,,,,,,,,,,,,,,,,,,,,
38,Jamaica,Australia,Medal,NELSON Shimona,,,,,,,,,,,,,,,,,,,,,,,
38,Jamaica,Australia,Medal,ROBINSON Rebekah Theresa,,,,,,,,,,,,,,,,,,,,,,,
38,Jamaica,Australia,Medal,STERLING Shamera Shadae,GK,GK,GK,GK,60,,,,,,,3,1,6,,,7,5,,,,,
38,Jamaica,Australia,Medal,THOMAS Adean Tamesha,,,WA,WA,22,,,,6,8,5,,,,,,,3,,,1,,1
38,Jamaica,Australia,Medal,WARD Jodi-Ann,WD,WD,WD,WD,60,,,,,,6,2,1,2,,,3,13,,1,1,,
38,Jamaica,Australia,Medal,WILLIAMS Khadijah Amoy,WA,WA,WA,,38,,,,9,12,12,,,,,,1,1,,,1,,
38,Jamaica,Australia,Medal,WILSON Latanya Amoy,GD,GD,GD,GD,60,,,,,,3,3,,9,,,4,8,6,,1,,
38,Australia,Jamaica,Medal,ARYANG Sunday,,,,,,,,,,,,,,,,,,,,,,,
38,Australia,Jamaica,Medal,AUSTIN Kiera,,,,,,,,,,,,,,,,,,,,,,,
38,Australia,Jamaica,Medal,BRAZILL Ashleigh,WD,WD,WD,WD,60,,,,,,6,3,1,5,,,4,9,1,,,,
38,Australia,Jamaica,Medal,BRUCE Courtney,GK,GD,GD,GD,60,,,,,,1,,,5,,,2,15,6,,,,
38,Australia,Jamaica,Medal,BUETA Gretel,GS,GA,GA,GA,60,37,37,100,2,2,13,1,,1,1,,2,6,2,,1,,2
38,Australia,Jamaica,Medal,HADLEY Paige,,,,,,,,,,,,,,,,,,,,,,,
38,Australia,Jamaica,Medal,KLAU Sarah,,GK,GK,GK,39,,,,,,,,,3,,,,15,4,,,,
38,Australia,Jamaica,Medal,KOENEN Cara,,GS,GS,GS,39,15,15,100,7,8,,1,1,,,,2,2,1,,1,,1
38,Australia,Jamaica,Medal,MOLONEY Kate,C,C,C,C,60,,,,13,34,,2,,,,,6,6,5,,,,3
38,Australia,Jamaica,Medal,WATSON Liz,WA,WA,WA,WA,60,,,,24,44,24,2,,1,,,4,4,3,,,1,
38,Australia,Jamaica,Medal,WESTON Joanna,GD,GD,,,21,,,,,,1,,,1,,,,7,3,,,,
38,Australia,Jamaica,Medal,WOOD Steph,GA,GA,,,21,3,5,60,7,8,3,1,,,,,2,,,,,,
